Date,Price,Open,High,Low,Vol.,Change %
13-Sep-20,7390.00,7400.00,7465.00,7300.00,1.12K,0.00
6-Sep-20,7415.00,7615.00,7615.00,7400.00,0.67K,-0.03
30-Aug-20,7615.00,7295.00,7840.00,7250.00,12.67K,0.05
23-Aug-20,7240.00,7090.00,7300.00,7040.00,56.26K,0.02
16-Aug-20,7105.00,7020.00,7220.00,7000.00,433.41K,0.00
9-Aug-20,7130.00,7100.00,7100.00,7000.00,0.01K,-0.01
2-Aug-20,7190.00,7195.00,7200.00,7185.00,0.02K,0.04
26-Jul-20,6895.00,6965.00,7405.00,6880.00,0.13K,-0.01
19-Jul-20,6935.00,7110.00,7160.00,6895.00,0.05K,-0.01
12-Jul-20,7040.00,7235.00,7240.00,7005.00,0.05K,-0.01
5-Jul-20,7105.00,7045.00,7210.00,7045.00,0.03K,0.04
28-Jun-20,6805.00,6760.00,6995.00,6750.00,0.02K,-0.01
21-Jun-20,6860.00,6715.00,6860.00,6715.00,0.00K,0.00
14-Jun-20,6880.00,6680.00,6885.00,6655.00,1.64K,0.00
7-Jun-20,6865.00,6865.00,6865.00,6865.00,,0.00
31-May-20,6865.00,6865.00,6865.00,6865.00,,0.00
24-May-20,6865.00,6650.00,7195.00,6525.00,0.06K,0.03
17-May-20,6670.00,6350.00,6785.00,5750.00,0.24K,0.04
10-May-20,6410.00,6355.00,6920.00,6155.00,0.34K,0.00
3-May-20,6390.00,6235.00,6580.00,6235.00,2.64K,0.02
26-Apr-20,6235.00,6155.00,6375.00,6130.00,8.80K,0.01
19-Apr-20,6175.00,6100.00,6250.00,5705.00,65.45K,-0.03
12-Apr-20,6365.00,6475.00,6505.00,6190.00,116.83K,0.12
5-Apr-20,5700.00,5700.00,5700.00,5700.00,,0.00
29-Mar-20,5700.00,5455.00,5700.00,5455.00,0.12K,-0.02
22-Mar-20,5800.00,6070.00,6490.00,5865.00,0.02K,-0.08
15-Mar-20,6300.00,6400.00,6480.00,6300.00,0.02K,-0.02
8-Mar-20,6400.00,6400.00,6400.00,6400.00,,-0.01
1-Mar-20,6480.00,6315.00,6500.00,6315.00,0.00K,0.08
23-Feb-20,6000.00,6355.00,6740.00,6000.00,0.03K,-0.09
16-Feb-20,6600.00,6990.00,6995.00,6565.00,0.01K,-0.06
9-Feb-20,7010.00,7010.00,7010.00,7010.00,0.00K,0.00
2-Feb-20,7010.00,7010.00,7010.00,7010.00,,0.00
19-Jan-20,7010.00,7010.00,7010.00,7010.00,0.00K,-0.05
12-Jan-20,7360.00,7230.00,7560.00,7120.00,1.32K,0.02
5-Jan-20,7250.00,7180.00,7380.00,7160.00,1.46K,0.01
29-Dec-19,7155.00,7230.00,7280.00,7085.00,15.54K,-0.01
22-Dec-19,7260.00,7290.00,7290.00,7200.00,46.58K,0.00
15-Dec-19,7225.00,7265.00,7300.00,7150.00,120.09K,0.01
8-Dec-19,7185.00,7185.00,7185.00,7185.00,,0.00
1-Dec-19,7185.00,7185.00,7185.00,7185.00,,0.00
24-Nov-19,7185.00,7025.00,7275.00,7025.00,0.01K,0.01
17-Nov-19,7100.00,7100.00,7100.00,7100.00,,0.02
10-Nov-19,6975.00,6975.00,6975.00,6975.00,,-0.02
3-Nov-19,7105.00,7105.00,7140.00,7080.00,0.06K,0.02
27-Oct-19,7000.00,7175.00,7210.00,7000.00,0.01K,-0.03
20-Oct-19,7180.00,7035.00,7200.00,7035.00,0.00K,-0.04
13-Oct-19,7455.00,7455.00,7455.00,7455.00,,0.00
6-Oct-19,7455.00,7455.00,7455.00,7455.00,,0.00
29-Sep-19,7455.00,7455.00,7455.00,7455.00,,0.00
22-Sep-19,7455.00,7445.00,7760.00,7445.00,0.01K,-0.03
15-Sep-19,7695.00,7245.00,7890.00,7245.00,1.21K,0.07
8-Sep-19,7215.00,7060.00,7250.00,7060.00,2.95K,0.01
1-Sep-19,7125.00,7040.00,7170.00,7000.00,8.12K,0.01
25-Aug-19,7050.00,7200.00,7255.00,6995.00,64.42K,-0.02
18-Aug-19,7225.00,7390.00,7470.00,7185.00,149.21K,-0.03
11-Aug-19,7425.00,7385.00,7510.00,7385.00,70.15K,0.00
4-Aug-19,7450.00,7450.00,7450.00,7450.00,0.01K,0.00
28-Jul-19,7470.00,7470.00,7470.00,7470.00,,0.01
21-Jul-19,7430.00,7895.00,7895.00,7430.00,0.01K,-0.05
14-Jul-19,7795.00,7795.00,7795.00,7795.00,0.00K,0.01
7-Jul-19,7685.00,7685.00,7685.00,7685.00,,0.00
30-Jun-19,7685.00,7685.00,7685.00,7685.00,,0.00
23-Jun-19,7685.00,7550.00,7830.00,7540.00,0.01K,0.02
16-Jun-19,7550.00,7550.00,7550.00,7550.00,,-0.04
9-Jun-19,7900.00,7900.00,7900.00,7900.00,,0.00
2-Jun-19,7900.00,7900.00,7900.00,7900.00,0.00K,-0.02
26-May-19,8070.00,8215.00,8215.00,7930.00,0.00K,0.02
19-May-19,7900.00,7900.00,7900.00,7900.00,,-0.02
12-May-19,8055.00,7945.00,7980.00,7560.00,0.90K,0.01
5-May-19,7945.00,8330.00,8330.00,7870.00,2.51K,-0.05
28-Apr-19,8335.00,8350.00,8410.00,8320.00,8.26K,0.00
21-Apr-19,8370.00,8370.00,8425.00,8330.00,36.44K,0.00
14-Apr-19,8395.00,8570.00,8590.00,8370.00,55.61K,-0.03
7-Apr-19,8625.00,8625.00,8625.00,8625.00,,0.00
31-Mar-19,8625.00,8625.00,8625.00,8625.00,,0.00
24-Mar-19,8625.00,8625.00,8625.00,8625.00,,0.00
17-Mar-19,8625.00,8625.00,8625.00,8625.00,,0.00
10-Mar-19,8625.00,8625.00,8625.00,8625.00,,0.02
3-Mar-19,8450.00,8450.00,8450.00,8450.00,,0.00
24-Feb-19,8450.00,8450.00,8450.00,8450.00,0.00K,-0.05
17-Feb-19,8875.00,8875.00,8875.00,8875.00,,0.00
10-Feb-19,8840.00,8840.00,8840.00,8840.00,,0.00
27-Jan-19,8840.00,8840.00,8840.00,8840.00,,0.00
20-Jan-19,8840.00,8840.00,8840.00,8840.00,,0.00
13-Jan-19,8840.00,8950.00,8950.00,8925.00,0.29K,0.03
6-Jan-19,8565.00,9010.00,9050.00,8485.00,0.53K,-0.05
30-Dec-18,9015.00,8910.00,9070.00,8910.00,2.28K,0.00
23-Dec-18,9055.00,9005.00,9110.00,8860.00,13.67K,0.00
16-Dec-18,9035.00,9060.00,9190.00,9000.00,44.37K,0.00
9-Dec-18,9035.00,9035.00,9035.00,9035.00,,0.00
2-Dec-18,9035.00,9035.00,9035.00,9035.00,,0.00
25-Nov-18,9035.00,9035.00,9035.00,9035.00,,0.00
18-Nov-18,9035.00,8885.00,9360.00,8705.00,0.07K,-0.02
11-Nov-18,9245.00,9245.00,9245.00,9245.00,,-0.01
4-Nov-18,9370.00,9370.00,9370.00,9370.00,,0.00
28-Oct-18,9370.00,9370.00,9370.00,9370.00,,0.00
21-Oct-18,9370.00,9155.00,9560.00,9155.00,0.04K,0.01
14-Oct-18,9270.00,9270.00,9270.00,9270.00,,0.00
7-Oct-18,9270.00,9270.00,9270.00,9270.00,,0.00
23-Sep-18,9270.00,9270.00,9270.00,9270.00,,0.00
16-Sep-18,9270.00,9270.00,9270.00,9270.00,,-0.01
9-Sep-18,9370.00,9250.00,9350.00,9250.00,0.88K,0.01
2-Sep-18,9300.00,9205.00,9500.00,9205.00,1.33K,-0.02
26-Aug-18,9455.00,9545.00,9590.00,9380.00,11.52K,-0.01
19-Aug-18,9560.00,9620.00,9730.00,9510.00,41.02K,-0.01
12-Aug-18,9635.00,9660.00,9700.00,9520.00,38.51K,0.00
5-Aug-18,9600.00,9495.00,9600.00,9495.00,0.00K,0.03
29-Jul-18,9345.00,9345.00,9350.00,9345.00,0.00K,0.02
22-Jul-18,9135.00,9135.00,9135.00,9135.00,,0.00
15-Jul-18,9115.00,9115.00,9115.00,9115.00,,0.01
8-Jul-18,8995.00,8995.00,9000.00,8995.00,0.01K,-0.01
1-Jul-18,9095.00,9095.00,9095.00,9095.00,,0.00
24-Jun-18,9095.00,9095.00,9095.00,9095.00,0.00K,0.02
17-Jun-18,8955.00,9030.00,9030.00,8955.00,0.00K,-0.01
10-Jun-18,9090.00,9090.00,9090.00,9090.00,0.00K,-0.12
3-Jun-18,10330.00,10330.00,10330.00,10330.00,,0.00
27-May-18,10330.00,9225.00,10590.00,9225.00,0.01K,0.07
20-May-18,9635.00,9270.00,9640.00,9270.00,0.10K,0.00
13-May-18,9600.00,9600.00,9600.00,9600.00,0.29K,0.00
6-May-18,9600.00,9650.00,9720.00,9600.00,0.10K,-0.01
29-Apr-18,9650.00,9210.00,9715.00,9210.00,5.92K,0.04
22-Apr-18,9250.00,9195.00,9295.00,9195.00,36.42K,0.00
15-Apr-18,9285.00,9290.00,9400.00,9180.00,41.63K,-0.14
8-Apr-18,10855.00,10855.00,10855.00,10855.00,0.00K,0.15
1-Apr-18,9400.00,10310.00,10310.00,9200.00,0.01K,-0.03
25-Mar-18,9730.00,9220.00,9830.00,9220.00,0.01K,0.04
18-Mar-18,9350.00,9715.00,9715.00,9200.00,0.01K,-0.02
11-Mar-18,9550.00,9200.00,9300.00,9200.00,0.01K,0.06
4-Mar-18,8970.00,8970.00,8970.00,8970.00,,0.00
25-Feb-18,8970.00,8885.00,9230.00,8885.00,0.00K,-0.03
18-Feb-18,9230.00,9230.00,9230.00,9230.00,,-0.02
11-Feb-18,9450.00,9450.00,9450.00,9450.00,,0.00
4-Feb-18,9450.00,9450.00,9450.00,9450.00,0.00K,-0.05
28-Jan-18,9985.00,10105.00,10105.00,9870.00,0.00K,0.01
21-Jan-18,9870.00,9870.00,9870.00,9870.00,,0.00
14-Jan-18,9870.00,9870.00,9870.00,9870.00,0.01K,0.00
7-Jan-18,9855.00,9800.00,9890.00,9450.00,0.66K,0.01
31-Dec-17,9725.00,9580.00,9850.00,9580.00,2.29K,0.02
24-Dec-17,9545.00,9400.00,9590.00,9370.00,17.97K,0.00
17-Dec-17,9545.00,9580.00,9675.00,9500.00,40.69K,0.00
10-Dec-17,9540.00,9495.00,9610.00,9490.00,9.27K,-0.01
3-Dec-17,9590.00,9590.00,9590.00,9590.00,,0.00
26-Nov-17,9590.00,9445.00,9705.00,9445.00,0.01K,-0.01
19-Nov-17,9645.00,9645.00,9645.00,9645.00,0.00K,-0.01
12-Nov-17,9715.00,9715.00,9715.00,9715.00,,0.02
5-Nov-17,9510.00,9510.00,9510.00,9510.00,,0.00
29-Oct-17,9510.00,9420.00,9590.00,9420.00,0.01K,0.00
22-Oct-17,9465.00,9465.00,9465.00,9465.00,,0.03
15-Oct-17,9200.00,9200.00,9200.00,9200.00,,0.00
8-Oct-17,9200.00,9200.00,9200.00,9200.00,0.00K,0.00
24-Sep-17,9200.00,9135.00,9700.00,8705.00,0.00K,-0.04
17-Sep-17,9585.00,9765.00,9765.00,9450.00,0.01K,-0.04
10-Sep-17,9945.00,9730.00,9900.00,9550.00,2.82K,0.01
